scrap_date,update_date,price,city,location,product_type,furnish_type,number_of_rooms,floor_number,number_of_floors,size,year_of_construction
14-Nov-20,Actualizat ieri,45.397,Iasi,Metalurgie ,Detached,Furnished,1,3,8,41.27 mp,2020 (in constructie)
14-Nov-20,Actualizat în 12.11.2020,52,Iasi,Tatarasi ,Detached,Furnished,2,8,8,55 mp,2021 (in constructie)
14-Nov-20,Actualizat în 05.11.2019,62.2,Iasi,Copou ,Detached,Furnished,2,10,10,59.22 mp,N/A
14-Nov-20,Actualizat în 05.11.2019,56.3,Iasi,Copou ,Detached,Furnished,2,4,10,53.55 mp,2020 (in constructie)
14-Nov-20,Actualizat în 12.11.2020,62,Iasi,Popas Pacurari ,Semi_detached,Unfurnished,4,Parter,2,80 mp,2018
14-Nov-20,Actualizat în 02.11.2020,134,Iasi,Tudor Vladimirescu ,Detached,Furnished,3,13,13,103 mp,2018
14-Nov-20,Actualizat azi,60,Iasi,Bucium ,Detached,Unfurnished,2,3,3,61 mp,2019
14-Nov-20,Actualizat în 03.07.2020,102,Iasi,Copou ,Detached,Furnished,2,Parter,4,82 mp,2020 (in constructie)
14-Nov-20,Actualizat azi,73,Iasi,Centru Civic ,Semi_detached,Unfurnished,2,6,7,48 mp,1960
14-Nov-20,Actualizat azi,78,Iasi,Podul de Fier ,Detached,Furnished,3,1,4,62 mp,1983
14-Nov-20,Actualizat în 13.10.2020,70,Iasi,Pacurari ,Detached,Furnished,3,Parter,1,91 mp,2021 (in constructie)
14-Nov-20,Actualizat în 10.11.2020,65,Iasi,Galata ,Detached,Unfurnished,2,3,6,65 mp,2020 (finalizata)
14-Nov-20,Actualizat în 06.11.2020,41.9,Iasi,Tatarasi ,Detached,Unfurnished,2,2,4,50 mp,1970
14-Nov-20,Actualizat în 10.11.2020,35,Iasi,Galata ,Detached,Unfurnished,1,3,5,33 mp,2020 (finalizata)
14-Nov-20,Actualizat în 05.11.2019,67,Iasi,Copou ,Detached,Furnished,2,2,6,63.79 mp,N/A
14-Nov-20,Actualizat în 05.11.2020,103.05,Iasi,Copou ,Detached,Unfurnished,3,Parter,3,86.91 mp,2020 (finalizata)
14-Nov-20,Actualizat în 09.11.2020,62.79,Iasi,Tatarasi ,Detached,Furnished,2,1,12,55 mp,2021 (in constructie)
14-Nov-20,Actualizat în 10.09.2020,63.2,Iasi,Podul de Piatra ,Semi_detached,Unfurnished,2,4,10,39.5 mp,2022 (proiect)
14-Nov-20,Actualizat în 14.10.2020,150,Iasi,Copou ,Detached,Furnished,2,6,9,74 mp,2019
14-Nov-20,Actualizat în 13.06.2019,49.5,Iasi,Copou ,Detached,Furnished,2,5,10,47.14 mp,N/A
14-Nov-20,Actualizat în 09.11.2020,78.936,Iasi,Tatarasi ,Detached,Furnished,3,4,12,69 mp,2021 (in constructie)
14-Nov-20,Actualizat în 25.10.2020,63,Iasi,Baza 3 ,Detached,Unfurnished,2,4,4,52 mp,2016
14-Nov-20,Actualizat în 09.11.2020,58,Iasi,Pacurari ,Semi_detached,Unfurnished,2,Etaj 1,N/A,47 mp,N/A
14-Nov-20,Actualizat azi,32,Iasi,Central ,Detached,Unfurnished,1,1,4,32 mp,2020 (finalizata)
14-Nov-20,Actualizat în 09.11.2020,46.046,Iasi,Tatarasi ,Detached,Furnished,1,1,12,41 mp,2021 (in constructie)
14-Nov-20,Actualizat în 09.11.2020,56,Iasi,Popas Pacurari ,Detached,Unfurnished,2,3,4,55 mp,2018
14-Nov-20,Actualizat în 06.11.2020,64,Iasi,Piata Unirii ,Detached,Unfurnished,2,2,3,42 mp,1965
14-Nov-20,Actualizat în 10.11.2020,54.5,Iasi,Galata ,Detached,Unfurnished,2,3,3,55 mp,2016
14-Nov-20,Actualizat azi,51,Iasi,Central ,Detached,Unfurnished,2,1,4,53 mp,2020 (finalizata)
14-Nov-20,Actualizat în 09.11.2020,27,Iasi,Lunca Cetatuii ,Detached,Unfurnished,1,1,3,34 mp,2020 (in constructie)
14-Nov-20,Actualizat în 28.10.2020,56.4,Iasi,Pacurari ,Detached,Furnished,2,1,5,59.35 mp,2021 (in constructie)
14-Nov-20,Actualizat în 06.11.2020,65,Iasi,Zimbru ,Detached,Unfurnished,4,10,10,98 mp,1977
14-Nov-20,Actualizat în 03.11.2020,111,Iasi,Central ,Detached,Unfurnished,3,8,9,70 mp,1980
14-Nov-20,Actualizat în 11.11.2020,63.5,Iasi,Popas Pacurari ,Detached,Unfurnished,3,2,2,80 mp,2013
14-Nov-20,Actualizat în 17.09.2020,37,Iasi,Lunca Cetatuii ,Detached,Unfurnished,2,1,3,45 mp,2020 (in constructie)
14-Nov-20,Actualizat ieri,90.288,Iasi,Metalurgie ,Detached,Furnished,3,3,8,90.44 mp,2020 (in constructie)
14-Nov-20,Actualizat ieri,63.217,Iasi,Metalurgie ,Detached,Furnished,2,1,8,57.47 mp,2020 (in constructie)
14-Nov-20,Actualizat ieri,58,Iasi,Nicolina ,N/A,N/A,2,Etaj 4,N/A,55.55 mp,1984
14-Nov-20,Actualizat în 09.11.2020,52,Iasi,Tatarasi ,Semi_detached,Unfurnished,2,6,8,49 mp,2014
14-Nov-20,Actualizat în 12.11.2020,56,Iasi,Tatarasi ,Detached,Unfurnished,2,Parter,4,50 mp,1970
14-Nov-20,Actualizat în 12.11.2020,37.7,Iasi,Copou ,Detached,Unfurnished,1,2,4,37.75 mp,2020
14-Nov-20,Actualizat în 27.10.2020,32.2,Iasi,Pacurari ,Semi_detached,Unfurnished,1,1,4,30 mp,2021 (in constructie)
14-Nov-20,Actualizat în 22.10.2020,55,Iasi,Nicolina ,Detached,N/A,2,Etaj 3,N/A,55 mp,1984
14-Nov-20,Actualizat în 11.11.2020,65,Iasi,Pacurari ,Semi_detached,Unfurnished,4,Etaj 8,N/A,75 mp,N/A
14-Nov-20,Actualizat în 05.11.2020,39.5,Iasi,Podu Ros ,Semi_detached,Unfurnished,2,2,4,48 mp,1968
14-Nov-20,Actualizat în 04.11.2020,60,Iasi,Pacurari ,Detached,Unfurnished,2,1,5,52 mp,2008
14-Nov-20,Actualizat în 23.10.2020,74,Iasi,Nicolina ,Detached,N/A,3,Etaj 3,N/A,74 mp,1983
14-Nov-20,Actualizat ieri,50,Iasi,Podu Ros ,Non_detached,Unfurnished,2,2,4,50 mp,1970
14-Nov-20,Actualizat în 29.10.2020,117,Iasi,Tudor Vladimirescu ,Detached,Unfurnished,3,6,8,74.63 mp,2018
14-Nov-20,Actualizat în 31.08.2020,73.117,Iasi,Pacurari ,Detached,Furnished,3,1,4,73.3 mp,2021 (in constructie)
14-Nov-20,Actualizat în 31.08.2020,56.772,Iasi,Pacurari ,Detached,Furnished,2,1,4,85.6 mp,2021 (in constructie)
14-Nov-20,Actualizat în 30.10.2020,75,Iasi,Frumoasa ,Detached,N/A,3,Parter,N/A,77 mp,1993
14-Nov-20,Actualizat în 20.10.2020,42.9,Iasi,Pacurari ,Semi_detached,Unfurnished,2,4,4,42 mp,1978
14-Nov-20,Actualizat în 03.11.2020,47,Iasi,Podu Ros ,N/A,N/A,2,7,10,38 mp,N/A
14-Nov-20,Actualizat în 31.08.2020,57.267,Iasi,Pacurari ,Detached,Furnished,2,1,4,60.6 mp,2021 (in constructie)
14-Nov-20,Actualizat în 12.11.2020,57.2,Iasi,Pacurari ,Detached,Unfurnished,3,1,3,63 mp,2020 (finalizata)
14-Nov-20,Actualizat în 04.11.2020,85,Iasi,Podu Ros ,Detached,Unfurnished,3,6,10,72 mp,1977
14-Nov-20,Actualizat în 28.10.2020,45.5,Iasi,Copou ,Semi_detached,Unfurnished,2,3,10,49.8 mp,2020
14-Nov-20,Actualizat în 02.11.2020,79.9,Iasi,Popas Pacurari ,Semi_detached,Unfurnished,3,Parter,1,85 mp,2020 (in constructie)
14-Nov-20,Actualizat în 12.11.2020,72.9,Iasi,Gara ,Detached,Unfurnished,3,2,8,67 mp,Între 1977 ºi 1990
14-Nov-20,Introdus: Ieri,125,Iasi,Copou ,Detached,Furnished,2,Parter,N/A,138 mp,2009
14-Nov-20,Actualizat în 10.11.2020,63.1,Iasi,Cug ,Detached,Furnished,3,3,6,66 mp,2020 (in constructie)
14-Nov-20,Actualizat în 10.11.2020,54.485,Iasi,Centru Civic ,Semi_detached,Furnished,2,7,11,35.15 mp,2021 (in constructie)
14-Nov-20,Actualizat în 09.11.2020,88.8,Iasi,Centru Civic ,Semi_detached,Furnished,3,6,10,52.8 mp,2021 (in constructie)
